i	loss	recon_loss	acc	val_loss	val_recon_loss	val_acc
0	0.748304	0.035237	0.426380	0.616297	0.027571	0.510700
1	0.592471	0.028237	0.566860	0.596677	0.027988	0.553400
2	0.537946	0.027219	0.643800	0.522961	0.026648	0.648500
3	0.494449	0.026103	0.696280	0.507356	0.025010	0.658500
4	0.461882	0.025524	0.739620	0.465719	0.024205	0.711300
5	0.438031	0.025114	0.771700	0.447826	0.023558	0.722200
6	0.414638	0.024783	0.800660	0.431824	0.022865	0.741400
7	0.386893	0.024404	0.839500	0.432268	0.022986	0.738300
8	0.367982	0.024162	0.862140	0.436246	0.023553	0.736800
9	0.346711	0.023973	0.888080	0.406177	0.022033	0.755200
10	0.319535	0.023750	0.919740	0.416420	0.022683	0.751300
